hjd,rv,err,instrument
457881.2899,20.0,4.0,LAMOST
2458574.3663,8.9,5.6,LAMOST
2459767.6226,63.8,3,MagE
2459791.9186,131.90,0.1,HIRES
2459795.6461,141.4,3,MagE
2459796.4995,142.7,3,MagE
2459798.8399,140.6,4,GMOS
2459805.5101,127.7,1.0,X-shooter
2459808.7388,118.0,4,GMOS
2459813.6045,90.5,0.3,FEROS
2459814.5874,86.1,0.3,FEROS
2459815.5927,81.9,0.3,FEROS
2459817.5278,74.5,0.3,FEROS
2459818.5266,71.0,0.3,FEROS
2459818.7870,67.8,4,GMOS
2459819.5543,67.0,0.3,FEROS
2459820.5465,64.0,0.3,FEROS
2459821.5669,60.7,0.3,FEROS
2459822.5745,57.8,0.3,FEROS
2459823.5422,54.8,0.3,FEROS
2459823.8525,53.76,0.1,HIRES
2459824.5305,52.1,0.3,FEROS
2459824.8516,51.18,0.1,HIRES
2459825.5361,49.8,0.3,FEROS
2459826.7920,46.59,0.1,HIRES
2459828.5677,42.2,0.3,FEROS
2459829.5373,42.1,3,MagE
2459829.5768,40.4,0.3,FEROS
2459830.6452,38.5,0.3,FEROS
2459831.6223,36.5,0.5,FEROS
2459833.7523,33.23,0.1,HIRES
2459834.5509,32.3,0.3,FEROS
2459834.7691,31.74,0.1,HIRES
2459835.7678,30.14,0.1,HIRES
2459838.8082,26.35,0.1,HIRES
2459838.7208,27.5,4,GMOS
2459840.7729,24.20,0.1,HIRES
2459845.5069,19.4,1.0,X-shooter
2459855.5012,14.2,1.0,X-shooter
2459868.5128,9.3,1.0,X-shooter
2459877.6978,10.5,1.5,ESI
